text,song
"t was 2014. Indra K Nooyi, the CEO and chairperson of PepsiCo, was having a televised conversation with David Bradley, the chairperson of the American media conglomerate The Atlantic Media.  I don t think women can have it all. I just don t think so. We pretend we have it all. We pretend we can have it all,  Nooyi said.

The woman who seemed to have it all but didn t.","(Verse 1)
Saath saath chal raha tha, 2014 ka scene,
Indra K Nooyi, PepsiCo ki queen.
Television pe thi, David Bradley ke saath,
The Atlantic Media ke head, karte the baat.

(Chorus)
""Nooyi boli, 'Sab kuch nahi milta',
Hamein lagta hai, lekin hota kuch nahi.'
Pretend karte hain, sab kuch theek hai,
Par sach hai alag, yeh hai uski baat.""

(Verse 2)
CEO aur chairperson, PepsiCo ki star,
Indra Nooyi thi, sabse pyaari yaar.
""Women can't have it all,"" yeh thi uski raat,
Pretend karte hain, lekin hota kuch nahi saath.

(Chorus)
""Nooyi boli, 'Sab kuch nahi milta',
Hamein lagta hai, lekin hota kuch nahi.'
Pretend karte hain, sab kuch theek hai,
Par sach hai alag, yeh hai uski baat.""

(Bridge)
Sab kuch lagta tha, lekin tha yeh illusion,
Women ka struggle, tha woh confusion.
Indra Nooyi, thi jo superstar,
Lekin behind the scenes, thi bhi woh aam.

(Chorus)
""Nooyi boli, 'Sab kuch nahi milta',
Hamein lagta hai, lekin hota kuch nahi.'
Pretend karte hain, sab kuch theek hai,
Par sach hai alag, yeh hai uski baat."""
A 5-year-old boy suffering from blood cancer died after he was allegedly dipped in the Ganga river by his parents and relatives in the hope of a  miracle cure  in Uttarakhand on Wednesday afternoon.,"(Verse 1)
Paanch saal ka baccha, blood cancer se ladta,
Uttarakhand mein, hua ek afsos ghata.
Maa-baap aur rishtedaron ne, kiya ek kadam,
Ganga mein duba diya, asha mein bharosa kam.

(Chorus)
Tragedy ka silsila, rooh mein hai dard,
Ganga ke kinare, hua ek bekaar.
Miracle cure ki, thi woh koshish,
Par bacche ne chhoda, yeh duniya ka saath.

(Verse 2)
Blood cancer se ladkar, bachpan mein gaya,
Ganga ka paani, tha unki aakhri sahara.
Maa-baap ki umeed, thi ek asar,
Lekin haqiqat thi, kuch aur bayaan.

(Chorus)
Tragedy ka silsila, rooh mein hai dard,
Ganga ke kinare, hua ek bekaar.
Miracle cure ki, thi woh koshish,
Par bacche ne chhoda, yeh duniya ka saath.

(Bridge)
Dil hai hairaan, kyun hui yeh ghatna,
Insaaniyat ro rahi, hai yeh afasana.
Bacche ki maut, ek kathin sach,
Miracle cure mein, khatm hui woh raat.

(Chorus)
Tragedy ka silsila, rooh mein hai dard,
Ganga ke kinare, hua ek bekaar.
Miracle cure ki, thi woh koshish,
Par bacche ne chhoda, yeh duniya ka saath."
"Blackstone Inc reported a 4% rise in its fourth-quarter distributable earnings on Thursday, as the world s largest private equity firm cashed out on more of its assets across real estate, credit, and hedge funds.","(Verse 1)
Blackstone Inc ne report kiya, fourth-quarter mein,
Distributable earnings mein hui ek taqatwar gain.
Private equity firm hai yeh, world ka sabse bada,
Real estate, credit, hedge funds mein hua cash ka sauda.

(Chorus)
Distributable earnings mein chaar percent ki baat,
Blackstone Inc, hai yeh ek solid raaz.
Assets ko cash-out kiya, har kona se,
Private equity ka hai yeh business maze.

(Verse 2)
Real estate mein, credit mein, hedge funds mein,
Blackstone ne kiya, cashing-out ka scene.
Fourth-quarter mein, hui ek rise,
Distributable earnings mein, hai yeh surprise.

(Chorus)
Distributable earnings mein chaar percent ki baat,
Blackstone Inc, hai yeh ek solid raaz.
Assets ko cash-out kiya, har kona se,
Private equity ka hai yeh business maze.

(Bridge)
World ke largest private equity mein,
Blackstone ka dominance, hai woh seen.
Real estate, credit, hedge funds ka expertise,
Cash ka sauda, hai yeh unka uniqueness.

(Chorus)
Distributable earnings mein chaar percent ki baat,
Blackstone Inc, hai yeh ek solid raaz.
Assets ko cash-out kiya, har kona se,
Private equity ka hai yeh business maze.

"
"Apple has released iOS 17.3, the latest version of its mobile operating system for iPhones. One of the key new features is  Stolen Device Protection , which adds extra security measures to protect users  data if their phone gets stolen. This should be high on every iPhone user s list to enable, as it better protects your information without any effort on your part.","(Verse 1)
Apple ne release kiya, iOS 17.3,
Latest version hai, iPhones ke liye free.
'Stolen Device Protection,' ek naya feature,
Data protection mein, hai yeh teacher.

(Chorus)
Har iPhone user, suno yeh baat,
Stolen Device Protection, karo enable saath.
Extra security, stolen phone ke liye,
Data protection, ab hogi tight.

(Verse 2)
Agar phone gaya, kahi chori ka haath,
Yeh feature hai, like a security path.
User ke data ko, karein protect,
Bina kisi effort ke, hoga connect.

(Chorus)
Har iPhone user, suno yeh baat,
Stolen Device Protection, karo enable saath.
Extra security, stolen phone ke liye,
Data protection, ab hogi tight.

(Bridge)
iOS 17.3, lekar aaya hai magic,
Apple ka update, hai yeh fantastic.
Stolen Device Protection, hai woh star,
Data safety mein, hai yeh radar.

(Chorus)
Har iPhone user, suno yeh baat,
Stolen Device Protection, karo enable saath.
Extra security, stolen phone ke liye,
Data protection, ab hogi tight."
"In a controversial ruling, a 33-year-old California woman convicted of fatally stabbing her boyfriend during what experts described as a  cannabis-induced psychosis  has received a lenient sentence of two years  probation and 100 hours of community service.","(Verse 1)
California ki kahani, hai yeh controversial,
33-year-old woman, ki hai ab criminal.
Boyfriend ko stab kiya, cannabis ka effect,
""Psychosis"" bola, lekin ab hai lenient.

(Chorus)
Duniya mein hai sawaal, justice ka sawaal,
Cannabis-induced psychosis, hai yeh kamaal.
Lenient sentence, do saal ka probation,
Community service, hai yeh solution.

(Verse 2)
Experts ne kaha, cannabis ka tha asar,
Fatal stabbing mein, thi woh ek bada factor.
33 saal ki woman, hai ab on probation,
Justice ki kahani, hai yeh sensation.

(Chorus)
Duniya mein hai sawaal, justice ka sawaal,
Cannabis-induced psychosis, hai yeh kamaal.
Lenient sentence, do saal ka probation,
Community service, hai yeh solution.

(Bridge)
Controversial ruling, hai yeh decision,
Cannabis's impact, hai yeh vision.
Probation aur service, punishment ka roop,
Justice system ki hai yeh kuch khaas baat.

(Chorus)
Duniya mein hai sawaal, justice ka sawaal,
Cannabis-induced psychosis, hai yeh kamaal.
Lenient sentence, do saal ka probation,
Community service, hai yeh solution.

"
"the Common Admission Test, popularly known as the CAT exam, is the largest MBA entrance exam in the country. Approximately 2.88 lakh candidates appeared for CAT 2023 compared to 2.22 lakh in 2022.","(Verse 1)
CAT exam, sabse bada hai yeh scene,
MBA ki doorway, yeh hai routine.
Desi students, aaye hain number mein bhaari,
2023 mein 2.88 lakh, 2022 se zyada saathi.

(Chorus)
CAT, CAT, entrance ka king,
MBA aspirants ka hai yeh swing.
Numbers badh gaye, 2023 mein peak,
2.88 lakh candidates, hai yeh unique.

(Verse 2)
Exam ka vibe, har kona se hai feel,
Preparation mein hai, har aspirant ke dil.
Quant, verbal, logical, sab kuch hai yahaan,
CAT exam mein, hai competition ka jahan.

(Chorus)
CAT, CAT, entrance ka king,
MBA aspirants ka hai yeh swing.
Numbers badh gaye, 2023 mein peak,
2.88 lakh candidates, hai yeh unique.

(Bridge)
2023 mein aaya, ek naya record,
CAT exam ka hai, yeh golden period.
Competition tough, lekin spirit high,
MBA dreams, hai sabke nigh.

(Chorus)
CAT, CAT, entrance ka king,
MBA aspirants ka hai yeh swing.
Numbers badh gaye, 2023 mein peak,
2.88 lakh candidates, hai yeh unique."
The White House is trying to enlist school leaders to help spread the word about the importance of safely storing firearms to protect children.,"(Verse 1)
White House mein chali hai ek baat,
School leaders ko hai, yeh saath.
Spread the word, importance ka hai scene,
Safely store karo, firearms ke beech.

(Chorus)
Bachon ki safety, hai yeh mission,
School leaders se hai, ek strong vision.
White House ne kaha, spread the word,
Firearms ko store karo, bachon ka ho care.

(Verse 2)
Children ke liye, safety hai priority,
White House ki appeal, hai yeh sincerity.
School leaders bane, ambassadors saare,
Firearms safety, hai yeh message clear.

(Chorus)
Bachon ki safety, hai yeh mission,
School leaders se hai, ek strong vision.
White House ne kaha, spread the word,
Firearms ko store karo, bachon ka ho care.

(Bridge)
Responsibility hai, har ek ko,
Bachon ki safety, hai yeh woh roshni.
Spread the awareness, har jagah,
White House ka hai, yeh ek pyara saath.

(Chorus)
Bachon ki safety, hai yeh mission,
School leaders se hai, ek strong vision.
White House ne kaha, spread the word,
Firearms ko store karo, bachon ka ho care.

"
"The Mumbai police on Thursday denied Maratha activist Manoj Jarange-Patil permission to hold a hunger strike in the city, even as he was to begin his protest at Azad Maidan on Friday. He and his supporters have reached Navi Mumbai as part of their Maratha Arakshan Morcha.","(Verse 1)
Mumbai police ne roka, Manoj Jarange-Patil ko,
Hunger strike ka plan, Azad Maidan pe khone ko.
Friday ko shuru hota, woh protest ka din,
Navi Mumbai tak pahunch gaye, Maratha Arakshan Morcha ke kin.

(Chorus)
Permission nahi mili, police se yahaan,
Jarange-Patil ne kiya, plan ka samaan.
Hunger strike pe, mana mila saath,
Maratha Arakshan Morcha, lekar chali raat.

(Verse 2)
Manoj aur supporters, pahunch gaye Navi Mumbai,
Azad Maidan mein, nahi hoga unka mela.
Maratha Arakshan Morcha, hai yeh ek roar,
Permission ke bina, hai yeh ek explore.

(Chorus)
Permission nahi mili, police se yahaan,
Jarange-Patil ne kiya, plan ka samaan.
Hunger strike pe, mana mila saath,
Maratha Arakshan Morcha, lekar chali raat.

(Bridge)
Protest ka spirit, hai woh high,
Navi Mumbai mein, hai yeh ek try.
Maratha Arakshan, unka hai mission,
Permission ke bina, chal rahi hai procession.

(Chorus)
Permission nahi mili, police se yahaan,
Jarange-Patil ne kiya, plan ka samaan.
Hunger strike pe, mana mila saath,
Maratha Arakshan Morcha, lekar chali raat."
"An Indira Canteen will open for the public at Kempegowda International Airport (KIA) by January end. As per the Bruhat Bengaluru Mahanagar Palike s (BBMP) estimates, the new canteen is expected to serve around 2,000 customers daily, which will mostly benefit airport cab drivers and BMTC bus drivers, among others. The canteen, along with the kitchen, is being constructed at a cost of Rs 1.35 crore.","(Verse 1)
Ek naya chapter shuru hoga, Kempegowda International Airport mein,
Indira Canteen khulega, public ke liye, January ke end mein.
BBMP ki estimates ke mutabiq, roz 2,000 customers aayenge yahaan,
Airport cab drivers, BMTC bus drivers, honge yeh sukhad samaan.

(Chorus)
Indira Canteen, KIA mein ek naya adda,
Public ke liye khula, hai yeh kamaal ka iraada.
2,000 customers, honge roz yahaan,
Rs 1.35 crore mein ban raha, kitchen ka samaan.

(Verse 2)
BBMP ke calculations se, yeh canteen banega hub,
Airport cab drivers, aur BMTC bus drivers ka hoga yeh club.
Rs 1.35 crore ka hai kharcha, construction mein lag raha,
Khulega yeh canteen, public ke liye, har roj hoga naya safaar.

(Chorus)
Indira Canteen, KIA mein ek naya adda,
Public ke liye khula, hai yeh kamaal ka iraada.
2,000 customers, honge roz yahaan,
Rs 1.35 crore mein ban raha, kitchen ka samaan.

(Bridge)
Sukhad bhojan ka ek aur mauka,
Airport par, hoga yeh naya chakkar.
Canteen ke saath, khulega ek naya dwaar,
Indira Canteen, hai yeh sabke liye bahaar.

(Chorus)
Indira Canteen, KIA mein ek naya adda,
Public ke liye khula, hai yeh kamaal ka iraada.
2,000 customers, honge roz yahaan,
Rs 1.35 crore mein ban raha, kitchen ka samaan.

"
"Delhi government-run Industrial Training Institutes have recorded a 72.30 per cent placement for the year 2023-24, officials said on Wednesday.

Out of 14,800 students in 19 ITIs run by the Delhi government, 10,700 students secured placements in different companies, whereas ITI Vivek Vihar and ITI Dheerpur recorded the highest placement, they said.","(Verse 1)
Delhi government ki taraf se chal rahe hain ITIs,
Placement record mein hai, ek naya bliss.
2023-24 mein, hua hai 72.30 percent,
Students ki hai kismat, hai yeh achievement.

(Chorus)
ITI students ne kiya, placement ka magic,
Delhi government ki hai, ek aur achievement ka pick.
14,800 students, 19 ITIs mein,
10,700 ne secure kiya, ek naya dream.

(Verse 2)
ITI Vivek Vihar aur Dheerpur mein,
Hua highest placement, ek aur taarif.
Delhi ke students, hai talented ka lot,
Companies mein hain, hone wale ek spot.

(Chorus)
ITI students ne kiya, placement ka magic,
Delhi government ki hai, ek aur achievement ka pick.
14,800 students, 19 ITIs mein,
10,700 ne secure kiya, ek naya dream.

(Bridge)
Skill development mein, Delhi hai ahead,
ITI students, hain future ke thread.
Placement success, hai yeh pride,
Delhi government ka hai, ek strong guide.

(Chorus)
ITI students ne kiya, placement ka magic,
Delhi government ki hai, ek aur achievement ka pick.
14,800 students, 19 ITIs mein,
10,700 ne secure kiya, ek naya dream."
"Australian allrounder Cameron Green was allowed to take the field despite testing Covid positive for the second Test against West Indies on Thursday. Along with Green, coach Andrew McDonald and opener Travis Head had also contracted the virus with the latter testing negative before the test, according to reports.","(Verse 1)
Cameron Green, allrounder hai Australia ka star,
Covid positive test, lekin field par hai taiyaar.
West Indies ke khilaaf, second Test ka scene,
Khelne diya gaya, despite being Covid-positive queen.

(Chorus)
Cameron Green, field mein hai, despite the test,
Covid ke bawajood, leke hai woh zest.
Coach Andrew McDonald, aur Travis Head bhi,
Virus ke shikar, lekin game on, yeh hai unki khushi.

(Verse 2)
Green, McDonald, Head, teeno the affected,
Covid ka test, tha sabko expected.
Travis Head ka test, tha negative,
Field par aaye, phir bhi active.

(Chorus)
Cameron Green, field mein hai, despite the test,
Covid ke bawajood, leke hai woh zest.
Coach Andrew McDonald, aur Travis Head bhi,
Virus ke shikar, lekin game on, yeh hai unki khushi.

(Bridge)
Cricket mein spirit, hai yeh ek alag baat,
Covid ke bawajood, players ne kiya saath.
Test ke scene mein, hai yeh twist,
Green ne dikhaya, hai woh ek risk.

(Chorus)
Cameron Green, field mein hai, despite the test,
Covid ke bawajood, leke hai woh zest.
Coach Andrew McDonald, aur Travis Head bhi,
Virus ke shikar, lekin game on, yeh hai unki khushi."
